Team 1,5k,MoM17,MoM18,MoM19,MM17a,MM17b,MM17c,MM17d,MM17e,MM18a,MM18b,MM18c,MM18d,MM18e,MM19a,MM19b,MM19c,MM19d,MM19e
Team 11,,,,,,,,,,,,,,,,,,,
1,32:57:00,,,,,,,,,,,,,,,,,,
2,33:33:00,,,,,,,,,,,,,,,,,,
3,18:22,,,,05:10,05:38,05:28,05:34,,,,05:17,,05:34,06:14,,,05:33,05:45
4,29:24:00,,,,,,,,,,,,,,,,,,
5,23:47,,,,,,,,,,,,,,,,,,
6,24:00:00,,,,,,,,,,,,,,,,,,
7,19:44,,05:13,,,,,,,,,,05:16,,,05:13,,,
8,20:04,,,,,,,,,,,,,,,,,,
9,29:24:00,,,,,,,,,,,,,,,,,,
10,25:00:00,,,,,,,,,,,,,,,,,,
Team 12,,,,,,,,,,,,,,,,,,,
1,22:50,,,,,,,06:46,06:44,06:53,,,,,,,,,
2,18:02,,,,,,,,,,,,,,,,,,
3,24:21:00,,,,,,,,,,,,,,,,,,
4,37:39:00,,,,,,,,,,11:21,,,,,,,,
5,22:57,,,,,,,,,,,,,,,,,,
6,18:39,,05:45,,,,,,,,,,,05:29,05:27,,,,
7,23:45,,,,,,,,,,,,06:44,,,06:39,,,
8,25:20:00,,,,,,,,,,,,,,,,,,
9,25:55:00,,,,07:04,,,06:58,06:58,,,07:23,07:21,,07:18,07:26,,,07:17
10,25:00:00,,,,,,,,,,,,,,,,,,
